year,destination,inflow,outflow,net_migration,state,unemployment_rate
2022,Minnesota,117016,130807,-13791,Minnesota,2.4
2022,Mississippi,69948,59596,10352,Mississippi,3.8
2022,Missouri,163254,156845,6409,Missouri,2.6
2022,Montana,48165,38483,9682,Montana,2.7
2022,Nebraska,49159,49472,-313,Nebraska,2.2
2022,Nevada,127406,114131,13275,Nevada,5.2
2022,New Hampshire,49782,46866,2916,New Hampshire,2.4
2022,New Jersey,175023,267106,-92083,New Jersey,3.9
2022,New Mexico,72095,58443,13652,New Mexico,4.1
2022,New York,301461,545598,-244137,New York,4.3
2022,North Carolina,341582,259422,82160,North Carolina,3.7
2022,North Dakota,34536,28359,6177,North Dakota,2.1
2022,Ohio,200809,196766,4043,Ohio,4.0
2022,Oklahoma,117788,85782,32006,Oklahoma,3.0
2022,Oregon,128359,157729,-29370,Oregon,4.0
2022,Pennsylvania,262700,278699,-15999,Pennsylvania,4.2
2022,Rhode Island,40311,39156,1155,Rhode Island,3.2
2022,South Carolina,219707,154398,65309,South Carolina,3.2
2022,South Dakota,31300,28803,2497,South Dakota,1.9
2022,Tennessee,225969,182669,43300,Tennessee,3.4
2022,Texas,668338,494077,174261,Texas,3.9
2022,Utah,91341,109290,-17949,Utah,2.4
2022,Vermont,26151,23170,2981,Vermont,2.3
2022,Virginia,266970,282050,-15080,Virginia,2.7
2022,Washington,248355,257785,-9430,Washington,4.1
2022,West Virginia,43493,40535,2958,West Virginia,3.9
2022,Wisconsin,120434,121329,-895,Wisconsin,2.8
2022,Wyoming,28948,27005,1943,Wyoming,3.4
2023,Alabama,119421,99663,19758,Alabama,2.5
2023,Alaska,30676,35800,-5124,Alaska,4.3
2023,Arizona,256203,193670,62533,Arizona,3.7
2023,Arkansas,73123,63179,9944,Arkansas,3.2
2023,California,422075,690127,-268052,California,4.7
2023,Colorado,232663,211370,21293,Colorado,3.3
2023,Connecticut,94990,91384,3606,Connecticut,3.2
2023,Delaware,39006,29121,9885,Delaware,3.9
2023,District of Columbia,56860,64336,-7476,District of Columbia,4.9
2023,Florida,636933,510925,126008,Florida,2.9
2023,Georgia,310452,250484,59968,Georgia,3.2
2023,Hawaii,58539,58078,461,Hawaii,2.9
2023,Idaho,81708,64970,16738,Idaho,3.2
2023,Illinois,203758,297005,-93247,Illinois,4.5
2023,Indiana,150649,120876,29773,Indiana,3.4
2023,Iowa,73176,75032,-1856,Iowa,3.0
2023,Kansas,77138,92713,-15575,Kansas,2.9
2023,Kentucky,106797,92582,14215,Kentucky,4.2
2023,Louisiana,69464,101180,-31716,Louisiana,3.7
2023,Maine,38089,27227,10862,Maine,2.6
2023,Maryland,162674,198764,-36090,Maryland,2.2
2023,Massachusetts,145021,184534,-39513,Massachusetts,3.5
2023,Michigan,135115,155530,-20415,Michigan,3.9
2023,Minnesota,100277,108966,-8689,Minnesota,2.8
2023,Mississippi,64610,61833,2777,Mississippi,3.1
2023,Missouri,143688,135597,8091,Missouri,3.1
2023,Montana,36775,36822,-47,Montana,2.7
2023,Nebraska,48590,48659,-69,Nebraska,2.3
2023,Nevada,122219,104444,17775,Nevada,5.1
2023,New Hampshire,39695,46753,-7058,New Hampshire,2.3
2023,New Jersey,156335,225514,-69179,New Jersey,4.3
2023,New Mexico,64673,64917,-244,New Mexico,3.7
2023,New York,302835,481544,-178709,New York,4.0
2023,North Carolina,339255,232663,106592,North Carolina,3.5
2023,North Dakota,34415,20814,13601,North Dakota,2.0
2023,Ohio,185341,184281,1060,Ohio,3.7
2023,Oklahoma,107679,84309,23370,Oklahoma,3.1
2023,Oregon,125246,131403,-6157,Oregon,3.8
2023,Pennsylvania,237526,272461,-34935,Pennsylvania,3.7
2023,Rhode Island,31599,31416,183,Rhode Island,3.0
2023,South Carolina,203674,135007,68667,South Carolina,3.0
2023,South Dakota,30055,29464,591,South Dakota,1.8
2023,Tennessee,203156,180407,22749,Tennessee,3.3
2023,Texas,611942,478570,133372,Texas,4.0
2023,Utah,90865,94351,-3486,Utah,2.7
2023,Vermont,26743,19151,7592,Vermont,1.9
2023,Virginia,276161,253240,22921,Virginia,2.7
2023,Washington,212616,215277,-2661,Washington,4.2
2023,West Virginia,42020,41042,978,West Virginia,3.9
2023,Wisconsin,114938,100085,14853,Wisconsin,2.8
2023,Wyoming,22957,22875,82,Wyoming,2.9
