Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Connecticut,Utah,0,225
Connecticut,Vermont,835,566
Connecticut,Virginia,578,475
Connecticut,Washington,697,421
Connecticut,West Virginia,0,225
Connecticut,Wisconsin,"1,103",553
Connecticut,Wyoming,0,225
Connecticut,Puerto Rico,821,641
Connecticut,U.S. Island Areas,N,N
Connecticut,Foreign country,"31,900","5,449"
Delaware,Alabama,477,611
Delaware,Alaska,0,208
Delaware,Arizona,N,N
Delaware,Arkansas,708,951
Delaware,California,"1,439",815
Delaware,Colorado,329,324
Delaware,Connecticut,258,242
Delaware,Delaware,X,X
Delaware,District of Columbia ,526,456
Delaware,Florida,"1,574","1,286"
Delaware,Georgia,"1,595","1,979"
Delaware,Hawaii,0,208
Delaware,Idaho,0,208
Delaware,Illinois,N,N
Delaware,Indiana,250,430
Delaware,Iowa,325,501
Delaware,Kansas,0,208
Delaware,Kentucky,0,208
Delaware,Louisiana,N,N
Delaware,Maine,76,108
Delaware,Maryland,"7,026","2,233"
Delaware,Massachusetts,122,119
Delaware,Michigan,721,778
Delaware,Minnesota,0,208
Delaware,Mississippi,N,N
Delaware,Missouri,N,N
Delaware,Montana,0,208
Delaware,Nebraska,0,208
Delaware,Nevada,0,208
Delaware,New Hampshire,N,N
Delaware,New Jersey,"3,404","1,047"
Delaware,New Mexico,0,208
Delaware,New York,"2,684","1,027"
Delaware,North Carolina,451,442
Delaware,North Dakota,0,208
Delaware,Ohio,N,N
Delaware,Oklahoma,N,N
Delaware,Oregon,N,N
Delaware,Pennsylvania,"6,673","1,661"
Delaware,Rhode Island,0,208
Delaware,South Carolina,814,552
Delaware,South Dakota,0,208
Delaware,Tennessee,865,"1,178"
Delaware,Texas,"1,250","1,120"
Delaware,Utah,0,208
Delaware,Vermont,N,N
Delaware,Virginia,"1,854",915
Delaware,Washington,0,208
Delaware,West Virginia,N,N
Delaware,Wisconsin,N,N
Delaware,Wyoming,0,208
Delaware,Puerto Rico,N,N
Delaware,U.S. Island Areas,0,208
Delaware,Foreign country,"6,078","2,213"
District of Columbia,Alabama,N,N
District of Columbia,Alaska,N,N
District of Columbia,Arizona,636,452
District of Columbia,Arkansas,446,501
District of Columbia,California,"4,559","1,174"
District of Columbia,Colorado,"2,351","1,968"
District of Columbia,Connecticut,"1,583","1,003"
District of Columbia,Delaware,679,520
District of Columbia,District of Columbia ,X,X
District of Columbia,Florida,"1,174",578
District of Columbia,Georgia,"1,415",961
District of Columbia,Hawaii,N,N
District of Columbia,Idaho,0,247
District of Columbia,Illinois,"2,821","1,669"
District of Columbia,Indiana,218,292
District of Columbia,Iowa,76,98
District of Columbia,Kansas,186,240
District of Columbia,Kentucky,N,N
District of Columbia,Louisiana,846,461
District of Columbia,Maine,209,234
District of Columbia,Maryland,"6,926","1,523"
District of Columbia,Massachusetts,"1,818",613
District of Columbia,Michigan,463,359
District of Columbia,Minnesota,460,340
District of Columbia,Mississippi,N,N
District of Columbia,Missouri,N,N
District of Columbia,Montana,N,N
District of Columbia,Nebraska,296,345
District of Columbia,Nevada,503,434
District of Columbia,New Hampshire,180,217
District of Columbia,New Jersey,"2,547",899
District of Columbia,New Mexico,889,727
District of Columbia,New York,"3,117",916
District of Columbia,North Carolina,"1,392",689
District of Columbia,North Dakota,N,N
District of Columbia,Ohio,"1,239",705
District of Columbia,Oklahoma,283,278
District of Columbia,Oregon,289,225
District of Columbia,Pennsylvania,"3,843","2,232"
District of Columbia,Rhode Island,279,357
District of Columbia,South Carolina,149,164
District of Columbia,South Dakota,0,247
District of Columbia,Tennessee,936,826
District of Columbia,Texas,"1,447",800
District of Columbia,Utah,264,338
District of Columbia,Vermont,0,247
District of Columbia,Virginia,"7,200","2,204"
District of Columbia,Washington,456,333
District of Columbia,West Virginia,0,247
District of Columbia,Wisconsin,526,323
District of Columbia,Wyoming,0,247
District of Columbia,Puerto Rico,113,159
District of Columbia,U.S. Island Areas,0,247
District of Columbia,Foreign country,"8,922","2,237"
Florida,Alabama,"11,110","3,108"
Florida,Alaska,"2,693","1,896"
Florida,Arizona,"9,255","2,344"
Florida,Arkansas,"4,633","2,564"
Florida,California,"36,194","5,759"
Florida,Colorado,"9,951","2,110"
Florida,Connecticut,"9,767","2,747"
Florida,Delaware,"1,581",994
Florida,District of Columbia ,"1,878",889
Florida,Florida,X,X
Florida,Georgia,"34,388","6,124"
Florida,Hawaii,"3,966","2,243"
Florida,Idaho,"1,019",630
Florida,Illinois,"24,410","4,381"
Florida,Indiana,"14,906","3,336"
Florida,Iowa,"1,724",999
Florida,Kansas,"4,722","1,935"
Florida,Kentucky,"9,372","3,044"
Florida,Louisiana,"4,215","1,576"
Florida,Maine,"3,261","1,999"
Florida,Maryland,"16,358","3,488"
Florida,Massachusetts,"21,834","4,803"
Florida,Michigan,"18,558","4,612"
Florida,Minnesota,"8,506","2,785"
Florida,Mississippi,"4,724","3,591"
Florida,Missouri,"8,080","2,426"
Florida,Montana,244,277
Florida,Nebraska,"1,017",824
Florida,Nevada,"9,338","3,210"
Florida,New Hampshire,"1,730",909
Florida,New Jersey,"22,646","4,042"
Florida,New Mexico,"2,076","1,285"
Florida,New York,"50,661","6,714"
Florida,North Carolina,"25,865","5,677"
Florida,North Dakota,901,496
Florida,Ohio,"19,342","3,542"
Florida,Oklahoma,"3,466","2,011"
Florida,Oregon,"2,825","1,169"
Florida,Pennsylvania,"33,530","6,458"
Florida,Rhode Island,"2,205","1,011"
Florida,South Carolina,"9,304","2,219"
Florida,South Dakota,955,753
Florida,Tennessee,"16,211","4,653"
Florida,Texas,"45,259","12,219"
Florida,Utah,"5,748","2,973"
Florida,Vermont,872,476
Florida,Virginia,"28,901","6,694"
Florida,Washington,"10,574","3,473"
Florida,West Virginia,"3,114","1,550"
Florida,Wisconsin,"8,210","2,433"
Florida,Wyoming,"1,777","1,104"
Florida,Puerto Rico,"9,395","2,450"
Florida,U.S. Island Areas,"2,039","1,281"
Florida,Foreign country,"288,048","16,402"
Georgia,Alabama,"15,804","5,475"
Georgia,Alaska,"1,367","1,158"
Georgia,Arizona,"5,085","3,014"
Georgia,Arkansas,"1,452",954
Georgia,California,"14,052","3,801"
Georgia,Colorado,"4,594","1,813"
Georgia,Connecticut,"3,760","1,767"
Georgia,Delaware,485,380
Georgia,District of Columbia ,802,673
Georgia,Florida,"52,371","8,290"
Georgia,Georgia,X,X
Georgia,Hawaii,620,592
Georgia,Idaho,319,369
Georgia,Illinois,"6,392","2,157"
Georgia,Indiana,"2,189","1,082"
Georgia,Iowa,"1,004",687
Georgia,Kansas,"2,411","1,521"
Georgia,Kentucky,"2,791","1,535"
Georgia,Louisiana,"6,487","2,221"
Georgia,Maine,N,N
Georgia,Maryland,"6,199","1,461"
Georgia,Massachusetts,"4,877","2,140"
Georgia,Michigan,"3,434","1,408"
Georgia,Minnesota,859,556
Georgia,Mississippi,"3,304","1,354"
Georgia,Missouri,"3,386","1,520"
Georgia,Montana,746,615
Georgia,Nebraska,597,537
Georgia,Nevada,"2,001","1,269"
